Member_number,Recency,Frequency,Monetary,Cluster
KH1119,329,2,22.4,Churned Customers
KH1120,95,17,144.39,Loyal Customers
KH1121,655,2,30.62,One-time Shoppers
KH1122,9,6,33.0,Potential Loyalists
KH1123,48,11,73.6,Potential Loyalists
KH1124,494,4,15.9,One-time Shoppers
KH1125,41,11,67.56,Potential Loyalists
KH1126,227,9,124.2,Big Spenders
KH1127,76,12,85.16,Potential Loyalists
KH1128,178,10,67.25,Big Spenders
KH1129,374,13,179.64,Churned Customers
KH1130,103,11,94.95,Potential Loyalists
KH1132,99,10,25.44,Potential Loyalists
KH1133,149,13,148.94,Big Spenders
KH1134,391,7,48.4,Churned Customers
KH1135,173,10,43.37,Big Spenders
KH1136,57,19,209.06,Loyal Customers
KH1137,95,6,17.6,Potential Loyalists
KH1138,119,6,53.3,Potential Loyalists
KH1139,345,9,72.8,Churned Customers
KH1140,187,8,66.7,Big Spenders
KH1141,380,9,80.8,Churned Customers
KH1142,200,8,81.0,Big Spenders
KH1143,249,12,54.5,Big Spenders
KH1144,76,16,133.25,Loyal Customers
KH1145,84,6,34.6,Potential Loyalists
KH1146,109,20,157.52,Loyal Customers
KH1147,409,6,49.2,Churned Customers
KH1148,94,19,118.76,Potential Loyalists
KH1149,18,7,34.6,Potential Loyalists
KH1150,26,10,54.4,Potential Loyalists
KH1151,104,5,68.8,Potential Loyalists
KH1152,164,8,83.05,Big Spenders
KH1153,22,17,101.5,Potential Loyalists
KH1154,227,9,35.2,Big Spenders
KH1155,3,8,89.3,Potential Loyalists
KH1156,108,2,24.0,Potential Loyalists
KH1157,452,7,136.9,Churned Customers
KH1158,74,11,49.1,Potential Loyalists
KH1159,199,6,25.45,Big Spenders
KH1160,40,15,118.51,Potential Loyalists
KH1161,291,7,78.3,Churned Customers
KH1162,146,12,113.5,Big Spenders
KH1163,16,9,54.1,Potential Loyalists
KH1164,275,5,31.1,Churned Customers
KH1165,1,9,136.2,Loyal Customers
KH1166,575,4,29.1,One-time Shoppers
KH1167,317,4,23.5,Churned Customers
KH1168,299,9,86.6,Churned Customers
KH1169,380,21,284.8,Churned Customers
KH1170,29,20,184.44,Loyal Customers
KH1171,239,10,75.3,Big Spenders
KH1173,69,9,36.5,Potential Loyalists
KH1174,322,11,59.9,Churned Customers
KH1175,183,19,222.36,Loyal Customers
KH1176,135,14,96.65,Big Spenders
KH1177,77,4,10.45,Potential Loyalists
KH1178,45,11,114.24,Potential Loyalists
KH1179,475,5,112.6,One-time Shoppers
KH1180,493,4,9.9,One-time Shoppers
KH1181,44,8,38.2,Potential Loyalists
KH1182,31,16,199.82,Loyal Customers
KH1183,184,16,97.6,Big Spenders
KH1184,197,5,43.5,Big Spenders
KH1185,128,10,108.9,Big Spenders
KH1186,248,9,51.83,Big Spenders
KH1187,18,7,14.77,Potential Loyalists
KH1188,355,8,69.7,Churned Customers
KH1189,544,4,30.55,One-time Shoppers
KH1190,64,17,161.1,Loyal Customers
KH1191,144,6,100.6,Big Spenders
KH1192,355,5,28.4,Churned Customers
KH1193,48,4,22.56,Potential Loyalists
KH1194,231,9,73.2,Big Spenders
KH1195,56,6,64.06,Potential Loyalists
KH1196,33,8,34.42,Potential Loyalists
KH1197,38,18,153.6,Loyal Customers
KH1198,333,7,167.9,Churned Customers
KH1199,20,13,57.5,Potential Loyalists
KH1200,95,8,26.05,Potential Loyalists
KH1201,401,4,34.8,Churned Customers
KH1202,161,10,61.6,Big Spenders
KH1204,160,16,142.1,Big Spenders
KH1205,291,10,69.1,Churned Customers
KH1206,229,14,96.6,Big Spenders
KH1207,46,8,62.06,Potential Loyalists
KH1208,14,11,171.46,Loyal Customers
KH1209,414,9,121.29,Churned Customers
KH1211,220,16,107.75,Big Spenders
KH1212,152,8,68.4,Big Spenders
KH1213,107,13,123.7,Loyal Customers
KH1214,354,6,58.9,Churned Customers
KH1215,346,9,76.71,Churned Customers
KH1216,127,14,183.2,Loyal Customers
KH1217,315,8,68.6,Churned Customers
KH1218,1,21,198.7,Loyal Customers
KH1219,454,4,32.6,Churned Customers
KH1220,1,17,186.05,Loyal Customers
KH1221,410,2,1.7,Churned Customers
KH1222,97,4,16.8,Potential Loyalists
KH1223,30,10,61.6,Potential Loyalists
KH1224,466,4,83.3,One-time Shoppers
KH1225,224,21,130.6,Big Spenders
KH1226,48,10,84.55,Potential Loyalists
KH1227,601,2,7.7,One-time Shoppers
KH1228,310,3,16.6,Churned Customers
KH1229,285,8,146.4,Churned Customers
KH1230,41,14,67.65,Potential Loyalists
KH1231,64,16,156.0,Loyal Customers
KH1232,182,7,33.0,Big Spenders
KH1233,139,19,98.36,Big Spenders
KH1234,40,10,74.44,Potential Loyalists
KH1235,215,19,156.98,Big Spenders
KH1236,233,5,40.6,Big Spenders
KH1237,265,20,160.8,Big Spenders
KH1238,304,2,27.0,Churned Customers
KH1239,121,16,139.0,Loyal Customers
KH1240,260,13,61.14,Big Spenders
KH1241,222,11,156.22,Big Spenders
KH1242,16,17,125.11,Potential Loyalists
KH1243,721,2,6.0,One-time Shoppers
KH1244,400,8,39.02,Churned Customers
KH1245,26,20,168.51,Loyal Customers
KH1246,366,8,57.4,Churned Customers
KH1247,452,4,17.4,Churned Customers
KH1248,15,16,166.65,Loyal Customers
KH1249,445,5,62.8,Churned Customers
KH1250,448,2,1.3,Churned Customers
KH1251,34,3,6.6,Potential Loyalists
KH1252,261,10,104.9,Big Spenders
KH1253,193,6,51.94,Big Spenders
KH1254,255,5,115.0,Big Spenders
KH1255,460,2,26.8,One-time Shoppers
KH1256,123,12,99.65,Big Spenders
KH1257,470,4,20.0,One-time Shoppers
KH1258,508,6,50.9,One-time Shoppers
KH1259,33,14,220.04,Loyal Customers
KH1260,452,4,48.74,Churned Customers
KH1261,223,8,47.05,Big Spenders
KH1262,526,6,46.6,One-time Shoppers
KH1263,437,4,39.8,Churned Customers
KH1264,23,17,145.0,Loyal Customers
KH1265,88,25,279.99,Loyal Customers
KH1266,490,2,10.8,One-time Shoppers
KH1267,594,2,15.0,One-time Shoppers
KH1268,437,9,57.8,Churned Customers
KH1269,91,14,123.62,Loyal Customers
KH1270,249,6,67.06,Big Spenders
KH1272,521,2,28.8,One-time Shoppers
KH1273,240,4,24.6,Big Spenders
KH1274,538,7,63.88,One-time Shoppers
KH1275,73,24,152.56,Loyal Customers
KH1276,37,13,101.5,Potential Loyalists
KH1277,29,15,108.21,Potential Loyalists
KH1278,21,15,95.2,Potential Loyalists
KH1279,111,17,112.9,Potential Loyalists
KH1280,140,8,47.1,Big Spenders
KH1281,211,9,91.9,Big Spenders
KH1282,42,10,40.7,Potential Loyalists
KH1283,47,17,145.2,Loyal Customers
KH1284,485,4,25.6,One-time Shoppers
KH1285,162,14,107.4,Big Spenders
KH1286,140,16,124.45,Big Spenders
KH1287,124,17,180.92,Loyal Customers
KH1288,458,7,92.68,Churned Customers
KH1289,52,11,125.9,Loyal Customers
KH1290,99,13,107.5,Potential Loyalists
KH1291,285,12,55.0,Churned Customers
KH1292,67,4,22.7,Potential Loyalists
KH1293,65,11,93.46,Potential Loyalists
KH1294,373,12,120.4,Churned Customers
KH1295,160,8,62.35,Big Spenders
KH1296,37,17,154.34,Loyal Customers
KH1297,382,9,108.15,Churned Customers
KH1298,156,7,60.8,Big Spenders
KH1299,210,8,23.1,Big Spenders
KH1300,482,2,21.0,One-time Shoppers
KH1301,57,7,54.0,Potential Loyalists
KH1302,92,10,56.96,Potential Loyalists
KH1303,113,14,82.0,Potential Loyalists
KH1304,135,7,68.5,Big Spenders
KH1305,220,12,114.3,Big Spenders
KH1306,40,9,58.19,Potential Loyalists
KH1307,191,12,66.7,Big Spenders
KH1308,291,8,89.4,Churned Customers
KH1309,273,11,88.35,Big Spenders
KH1310,403,4,12.4,Churned Customers
KH1311,184,8,79.5,Big Spenders
KH1312,226,14,197.8,Big Spenders
KH1313,5,2,17.3,Potential Loyalists
KH1314,481,2,2.9,One-time Shoppers
KH1315,53,6,82.0,Potential Loyalists
KH1316,279,6,49.6,Churned Customers
KH1317,522,6,32.54,One-time Shoppers
KH1318,95,5,51.3,Potential Loyalists
KH1319,134,9,63.8,Big Spenders
KH1320,345,10,90.72,Churned Customers
KH1321,261,5,14.6,Big Spenders
KH1322,72,15,140.64,Loyal Customers
KH1323,57,8,40.9,Potential Loyalists
KH1324,3,14,179.2,Loyal Customers
KH1325,218,9,80.3,Big Spenders
KH1326,51,11,103.8,Potential Loyalists
KH1327,143,18,136.92,Big Spenders
KH1328,281,10,88.82,Churned Customers
KH1329,221,16,146.6,Big Spenders
KH1330,58,11,118.4,Potential Loyalists
KH1331,31,9,61.75,Potential Loyalists
KH1332,28,15,64.1,Potential Loyalists
KH1333,99,18,145.5,Loyal Customers
KH1334,206,5,27.0,Big Spenders
KH1335,73,12,94.45,Potential Loyalists
KH1336,270,9,192.85,Big Spenders
KH1337,5,4,70.5,Potential Loyalists
KH1338,506,5,25.1,One-time Shoppers
KH1339,32,13,78.5,Potential Loyalists
KH1340,42,14,82.7,Potential Loyalists
KH1341,61,12,139.4,Loyal Customers
KH1342,314,13,132.05,Churned Customers
KH1343,59,10,124.22,Loyal Customers
KH1344,117,6,26.5,Potential Loyalists
KH1345,162,10,78.36,Big Spenders
KH1346,236,7,59.7,Big Spenders
KH1347,106,14,124.4,Loyal Customers
KH1348,104,6,58.0,Potential Loyalists
KH1349,17,11,77.52,Potential Loyalists
KH1350,483,6,19.2,One-time Shoppers
KH1351,307,6,63.1,Churned Customers
KH1352,667,2,24.4,One-time Shoppers
KH1353,324,21,235.4,Churned Customers
KH1354,29,13,74.95,Potential Loyalists
KH1355,102,13,92.7,Potential Loyalists
KH1356,113,10,131.44,Loyal Customers
KH1357,115,6,24.3,Potential Loyalists
KH1358,1,12,98.4,Potential Loyalists
KH1359,580,4,46.4,One-time Shoppers
KH1360,14,16,195.2,Loyal Customers
KH1361,113,17,100.9,Potential Loyalists
KH1362,85,5,62.7,Potential Loyalists
KH1363,77,13,96.6,Potential Loyalists
KH1364,152,8,35.4,Big Spenders
KH1365,58,12,62.5,Potential Loyalists
KH1366,31,25,224.1,Loyal Customers
KH1367,147,5,70.9,Big Spenders
KH1368,168,2,33.9,Big Spenders
KH1369,394,8,23.6,Churned Customers
KH1370,178,13,71.9,Big Spenders
KH1371,233,6,90.3,Big Spenders
KH1372,188,10,97.3,Big Spenders
KH1373,164,14,153.4,Big Spenders
KH1374,147,11,36.8,Big Spenders
KH1375,80,2,7.2,Potential Loyalists
KH1376,183,7,37.58,Big Spenders
KH1377,291,11,92.9,Churned Customers
KH1378,79,4,52.5,Potential Loyalists
KH1379,170,28,217.85,Loyal Customers
KH1380,39,11,101.1,Potential Loyalists
KH1381,282,15,104.75,Churned Customers
KH1382,92,6,43.0,Potential Loyalists
KH1383,310,6,41.0,Churned Customers
KH1384,11,15,86.6,Potential Loyalists
KH1385,34,15,164.7,Loyal Customers
KH1386,152,6,54.8,Big Spenders
KH1387,578,6,47.46,One-time Shoppers
KH1388,271,7,44.2,Churned Customers
KH1389,315,8,36.3,Churned Customers
KH1390,303,12,99.87,Churned Customers
KH1391,131,13,97.4,Big Spenders
KH1392,254,6,85.9,Big Spenders
KH1393,491,7,44.15,One-time Shoppers
KH1394,220,4,56.1,Big Spenders
KH1395,79,23,174.64,Loyal Customers
KH1396,161,8,106.52,Big Spenders
KH1397,9,2,11.8,Potential Loyalists
KH1398,259,8,86.51,Big Spenders
KH1399,385,9,80.1,Churned Customers
KH1400,445,2,7.8,Churned Customers
KH1401,215,4,13.6,Big Spenders
KH1402,442,4,17.8,Churned Customers
KH1403,228,10,68.4,Big Spenders
KH1404,241,18,159.5,Big Spenders
KH1405,305,6,45.2,Churned Customers
KH1406,2,12,102.2,Potential Loyalists
KH1407,154,23,261.55,Loyal Customers
KH1408,160,7,31.9,Big Spenders
KH1409,155,6,37.06,Big Spenders
KH1410,52,27,184.95,Loyal Customers
KH1411,313,4,70.32,Churned Customers
KH1412,44,12,86.27,Potential Loyalists
KH1413,381,7,63.8,Churned Customers
KH1414,220,2,3.4,Big Spenders
KH1415,367,4,10.8,Churned Customers
KH1416,130,14,137.7,Loyal Customers
KH1417,103,10,70.1,Potential Loyalists
KH1418,393,7,38.7,Churned Customers
KH1419,267,15,165.5,Big Spenders
KH1420,22,11,82.35,Potential Loyalists
KH1421,145,11,50.12,Big Spenders
KH1422,87,19,152.4,Loyal Customers
KH1423,443,6,49.46,Churned Customers
KH1424,82,6,79.3,Potential Loyalists
KH1425,97,10,44.32,Potential Loyalists
KH1426,175,10,74.04,Big Spenders
KH1427,34,16,92.4,Potential Loyalists
KH1428,346,13,107.14,Churned Customers
KH1429,326,5,31.1,Churned Customers
KH1430,13,16,203.6,Loyal Customers
KH1431,53,9,48.3,Potential Loyalists
KH1432,148,11,96.1,Big Spenders
KH1433,464,4,50.6,One-time Shoppers
KH1434,397,8,49.5,Churned Customers
KH1435,250,15,175.55,Big Spenders
KH1436,304,2,13.49,Churned Customers
KH1437,137,4,20.05,Big Spenders
KH1438,32,17,188.94,Loyal Customers
KH1439,139,3,16.3,Big Spenders
KH1440,24,12,102.6,Potential Loyalists
KH1442,121,13,88.1,Potential Loyalists
KH1443,82,11,93.4,Potential Loyalists
KH1444,1,20,163.32,Loyal Customers
KH1445,607,6,25.8,One-time Shoppers
KH1446,484,8,63.26,One-time Shoppers
KH1447,573,3,30.0,One-time Shoppers
KH1448,286,4,39.1,Churned Customers
KH1449,88,9,54.45,Potential Loyalists
KH1450,44,16,109.4,Potential Loyalists
KH1451,337,6,54.56,Churned Customers
KH1452,35,15,191.04,Loyal Customers
KH1453,404,4,34.8,Churned Customers
KH1454,69,11,110.7,Potential Loyalists
KH1455,287,2,20.4,Churned Customers
KH1456,40,18,168.74,Loyal Customers
KH1457,355,12,139.4,Churned Customers
KH1458,128,7,46.9,Big Spenders
KH1459,165,4,32.66,Big Spenders
KH1460,189,10,163.7,Big Spenders
KH1461,9,8,77.3,Potential Loyalists
KH1462,462,4,19.7,One-time Shoppers
KH1463,6,6,35.1,Potential Loyalists
KH1464,210,5,21.8,Big Spenders
KH1465,51,17,190.96,Loyal Customers
KH1466,29,23,213.4,Loyal Customers
KH1467,132,5,73.0,Big Spenders
KH1468,82,15,105.24,Potential Loyalists
KH1469,489,2,9.5,One-time Shoppers
KH1470,567,2,29.7,One-time Shoppers
KH1471,496,4,16.8,One-time Shoppers
KH1472,102,16,112.6,Potential Loyalists
KH1473,89,10,93.9,Potential Loyalists
KH1474,154,12,84.8,Big Spenders
KH1475,13,10,106.93,Potential Loyalists
KH1476,126,13,111.84,Big Spenders
KH1477,40,17,172.9,Loyal Customers
KH1478,321,8,71.2,Churned Customers
KH1479,229,14,95.29,Big Spenders
KH1480,39,13,114.44,Potential Loyalists
KH1481,209,4,23.8,Big Spenders
KH1482,38,20,115.28,Potential Loyalists
KH1483,186,20,173.62,Big Spenders
KH1484,84,8,143.6,Loyal Customers
KH1485,171,4,51.9,Big Spenders
KH1486,16,17,115.9,Potential Loyalists
KH1487,423,7,34.9,Churned Customers
KH1488,32,8,96.8,Potential Loyalists
KH1489,190,13,60.7,Big Spenders
KH1490,87,4,45.5,Potential Loyalists
KH1491,0,11,108.4,Potential Loyalists
KH1492,335,11,98.0,Churned Customers
KH1493,90,15,113.7,Potential Loyalists
KH1494,92,16,175.74,Loyal Customers
KH1495,355,9,62.5,Churned Customers
KH1496,613,2,16.8,One-time Shoppers
KH1497,81,9,123.42,Loyal Customers
KH1498,63,8,56.1,Potential Loyalists
KH1499,51,10,48.5,Potential Loyalists
KH1500,284,16,127.52,Churned Customers
KH1501,135,10,122.6,Big Spenders
KH1502,60,7,49.3,Potential Loyalists
KH1503,135,9,94.5,Big Spenders
KH1504,30,11,151.7,Loyal Customers
KH1505,64,8,100.56,Potential Loyalists
KH1506,370,5,76.0,Churned Customers
KH1507,191,16,130.6,Big Spenders
KH1508,45,8,35.9,Potential Loyalists
KH1509,0,18,148.4,Loyal Customers
KH1510,66,18,174.51,Loyal Customers
KH1511,283,4,40.42,Churned Customers
KH1512,101,10,59.21,Potential Loyalists
KH1513,48,10,115.8,Potential Loyalists
KH1514,128,10,63.54,Big Spenders
KH1515,32,13,93.1,Potential Loyalists
KH1516,336,4,70.72,Churned Customers
KH1517,151,10,56.7,Big Spenders
KH1518,19,7,66.45,Potential Loyalists
KH1519,428,2,13.4,Churned Customers
KH1520,307,6,81.5,Churned Customers
KH1521,369,6,86.8,Churned Customers
KH1522,371,19,216.19,Churned Customers
KH1523,277,10,124.75,Big Spenders
KH1524,25,10,59.1,Potential Loyalists
KH1525,431,5,61.1,Churned Customers
KH1526,34,11,84.49,Potential Loyalists
KH1527,0,14,65.9,Potential Loyalists
KH1528,106,8,85.5,Potential Loyalists
KH1529,196,7,49.7,Big Spenders
KH1530,445,5,40.9,Churned Customers
KH1531,345,4,27.7,Churned Customers
KH1532,193,6,93.3,Big Spenders
KH1533,53,6,60.14,Potential Loyalists
KH1534,139,18,153.31,Loyal Customers
KH1535,180,8,114.36,Big Spenders
KH1536,242,8,60.4,Big Spenders
KH1537,332,5,16.0,Churned Customers
KH1538,30,6,45.55,Potential Loyalists
KH1539,94,5,37.6,Potential Loyalists
KH1540,34,12,130.9,Loyal Customers
KH1542,145,13,136.2,Big Spenders
KH1544,308,9,74.16,Churned Customers
KH1545,74,7,36.8,Potential Loyalists
KH1546,361,9,51.8,Churned Customers
KH1547,256,7,57.5,Big Spenders
KH1548,455,6,45.1,Churned Customers
KH1549,287,9,120.85,Churned Customers
KH1550,230,7,67.95,Big Spenders
KH1551,141,13,92.7,Big Spenders
KH1552,720,2,80.1,One-time Shoppers
KH1553,162,14,95.7,Big Spenders
KH1554,223,15,183.5,Big Spenders
KH1555,278,2,37.2,Churned Customers
KH1556,578,2,20.9,One-time Shoppers
KH1557,148,4,108.6,Big Spenders
KH1558,268,2,15.4,Churned Customers
KH1559,88,7,103.0,Potential Loyalists
KH1560,593,2,1.9,One-time Shoppers
KH1561,158,20,136.15,Big Spenders
KH1562,233,6,66.9,Big Spenders
KH1563,612,5,35.0,One-time Shoppers
KH1564,68,8,83.0,Potential Loyalists
KH1565,16,19,234.79,Loyal Customers
KH1566,41,21,145.76,Loyal Customers
KH1567,263,17,192.08,Big Spenders
KH1568,661,4,48.9,One-time Shoppers
KH1569,589,8,46.4,One-time Shoppers
KH1570,285,5,41.0,Churned Customers
KH1571,220,8,34.5,Big Spenders
KH1572,100,20,182.1,Loyal Customers
KH1573,343,6,36.9,Churned Customers
KH1574,148,23,205.7,Loyal Customers
KH1575,360,10,38.62,Churned Customers
KH1577,289,2,32.1,Churned Customers
KH1578,190,8,57.2,Big Spenders
KH1579,563,2,11.5,One-time Shoppers
KH1580,25,16,53.35,Potential Loyalists
KH1581,139,6,83.7,Big Spenders
KH1582,146,6,95.06,Big Spenders
KH1583,37,21,164.05,Loyal Customers
KH1584,173,16,141.95,Big Spenders
KH1585,357,8,38.3,Churned Customers
KH1586,607,6,25.9,One-time Shoppers
KH1587,182,13,101.62,Big Spenders
KH1588,78,8,109.54,Potential Loyalists
KH1589,490,4,46.0,One-time Shoppers
KH1590,137,6,43.7,Big Spenders
KH1591,285,10,103.2,Churned Customers
KH1592,397,2,4.4,Churned Customers
KH1593,144,7,32.6,Big Spenders
KH1594,341,6,23.3,Churned Customers
KH1595,86,22,176.9,Loyal Customers
KH1596,169,10,35.45,Big Spenders
KH1597,328,8,58.2,Churned Customers
KH1598,303,7,29.2,Churned Customers
KH1599,78,14,79.44,Potential Loyalists
KH1601,21,6,85.5,Potential Loyalists
KH1602,123,14,148.0,Loyal Customers
KH1603,91,15,106.75,Potential Loyalists
KH1604,49,8,48.0,Potential Loyalists
KH1605,177,11,47.1,Big Spenders
KH1606,49,8,128.0,Loyal Customers
KH1607,444,6,35.76,Churned Customers
KH1608,47,18,170.12,Loyal Customers
KH1609,13,15,203.1,Loyal Customers
KH1610,218,6,25.7,Big Spenders
KH1611,270,10,93.85,Big Spenders
KH1612,54,16,102.3,Potential Loyalists
KH1613,127,15,164.7,Loyal Customers
KH1614,70,4,85.42,Potential Loyalists
KH1615,27,12,69.5,Potential Loyalists
KH1616,22,13,132.0,Loyal Customers
KH1617,275,9,35.1,Churned Customers
KH1618,150,16,192.72,Loyal Customers
KH1619,62,11,132.61,Loyal Customers
KH1620,132,11,160.1,Loyal Customers
KH1621,313,14,150.72,Churned Customers
KH1622,294,10,72.96,Churned Customers
KH1623,58,12,135.7,Loyal Customers
KH1624,8,9,151.0,Loyal Customers
KH1625,33,18,205.26,Loyal Customers
KH1626,315,2,4.1,Churned Customers
KH1627,263,9,37.0,Big Spenders
KH1628,41,15,118.4,Potential Loyalists
KH1629,205,6,60.9,Big Spenders
KH1630,222,4,16.5,Big Spenders
KH1631,138,5,48.6,Big Spenders
KH1632,15,14,117.04,Potential Loyalists
KH1633,143,6,32.62,Big Spenders
KH1634,27,19,107.3,Potential Loyalists
KH1635,35,6,41.86,Potential Loyalists
KH1636,25,12,119.6,Potential Loyalists
KH1638,293,8,81.5,Churned Customers
KH1639,81,7,114.8,Potential Loyalists
KH1640,662,4,27.4,One-time Shoppers
KH1641,190,12,94.7,Big Spenders
KH1642,458,2,5.9,One-time Shoppers
KH1643,246,4,12.0,Big Spenders
KH1644,535,5,62.62,One-time Shoppers
KH1645,451,5,34.2,Churned Customers
KH1646,124,17,151.66,Loyal Customers
KH1647,10,7,82.88,Potential Loyalists
KH1648,243,10,89.0,Big Spenders
KH1649,31,18,178.7,Loyal Customers
KH1650,551,6,39.8,One-time Shoppers
KH1651,13,16,220.35,Loyal Customers
KH1652,288,12,105.5,Churned Customers
KH1653,23,18,201.0,Loyal Customers
KH1654,51,23,247.84,Loyal Customers
KH1655,40,9,109.1,Potential Loyalists
KH1656,61,12,107.14,Potential Loyalists
KH1657,597,6,38.9,One-time Shoppers
KH1658,118,12,113.3,Potential Loyalists
KH1659,30,15,145.5,Loyal Customers
KH1660,157,7,76.25,Big Spenders
KH1661,52,17,115.16,Potential Loyalists
KH1662,201,5,30.0,Big Spenders
KH1663,49,13,100.1,Potential Loyalists
KH1664,273,10,57.4,Churned Customers
KH1665,31,6,30.0,Potential Loyalists
KH1666,259,4,38.7,Big Spenders
KH1667,352,2,41.6,Churned Customers
KH1668,131,11,127.2,Big Spenders
KH1669,133,9,52.74,Big Spenders
KH1670,38,9,73.5,Potential Loyalists
KH1672,84,6,39.6,Potential Loyalists
KH1673,631,2,13.9,One-time Shoppers
KH1674,26,12,115.55,Potential Loyalists
KH1676,80,10,57.6,Potential Loyalists
KH1677,21,11,219.0,Loyal Customers
KH1678,46,8,61.4,Potential Loyalists
KH1679,22,11,53.2,Potential Loyalists
KH1680,385,6,67.2,Churned Customers
KH1681,542,6,20.1,One-time Shoppers
KH1682,59,20,155.66,Loyal Customers
KH1683,132,5,29.2,Big Spenders
KH1684,361,8,79.9,Churned Customers
